spend,icac_mean,icac_lo95,icac_hi95,ltv_mean
134433.69795652176,300.36510570612114,246.7186535748659,396.41348884900344,93147.72015325379
135459.90939130436,300.4346453078193,246.73469588059808,396.97760582325736,93837.04632360933
136486.120826087,300.4431612903646,246.85581299957218,397.51651132004275,94545.2531145731
137512.3322608696,300.46263406888636,246.89304237620814,397.9779289025538,95249.94619876507
138538.5436956522,300.59118993946953,246.927322663346,398.8599588451716,95919.72808646537
139564.75513043482,300.66619350463367,246.9618558375824,399.45098475848494,96606.13783269163
140590.96656521742,300.75241519927727,246.99690476891615,400.526819475803,97288.57773376854
141617.178,300.90702368537643,247.032221482869,401.0579054088337,97948.36082630232
142643.38943478264,301.0961726963469,247.0677929649502,401.9333375541857,98596.15458595057
143669.60086956524,301.27780764484885,247.1036191701938,403.16959997112133,99245.61046992683
144695.81230434784,301.360009242895,247.14066050438913,403.2877562918873,99927.24437389933
145722.02373913047,301.4317342442727,247.17827966198098,403.4864334562101,100612.0008089382
146748.23517391307,301.5401163304755,247.21616230698285,403.9955720402135,101284.11799511392
147774.44660869567,301.6716039956618,247.2543083896069,404.5114581772881,101947.94387497977
148800.6580434783,301.73574364449365,247.29271785972722,405.0408690663649,102634.0949074981
149826.8694782609,301.76720108737436,247.33139066688045,405.5736352093592,103331.14398976232
150853.0809130435,301.79887332156534,247.37032676026595,406.40071106583304,104027.973862704
151879.29234782612,301.86858478737685,247.40952608874596,407.37094684831663,104711.45835222745
152905.50378260872,301.95113318956913,247.44898860084592,407.4019569515263,105390.14825989501
153931.71521739132,302.00385074655173,247.5022404160621,408.7426942238726,106078.9447107357
154957.92665217395,302.0103352393454,247.5711092009139,409.39889370552095,106783.84466618483
155984.13808695655,302.10884999456454,247.6408035234029,409.60639322654623,107455.97059615562
157010.34952173915,302.35506446432356,247.71142803287523,409.6877611937724,108074.84166377265
158036.56095652177,302.3575950567583,247.7955428073842,409.921961649573,108780.30290456838
159062.77239130437,302.43086740769695,247.8539345764186,410.53145383591226,109460.13890458508
160088.98382608697,302.5455636636824,247.92575270536733,411.0313001237596,110124.56904560272
161115.1952608696,302.7084818806244,247.9651892230976,411.59812335583,110770.84960880631
162141.4066956522,302.80796325692427,248.0161920415273,412.4435628636797,111439.76966810075
163167.6181304348,302.9814803127923,248.08926018045656,413.0951271605886,112080.86005262498
164193.82956521743,303.0564073677956,248.1627803710241,414.25426288927497,112757.8854662982
165220.04100000003,303.1148149495467,248.23675244681914,415.16041787221474,113440.76050464385
166246.25243478263,303.22234519838366,248.31117624046183,415.3917042442835,114104.88117139401
167272.46386956525,303.26165011578126,248.3860515836035,415.7376687857503,114794.35361225047
168298.67530434785,303.3323102503683,248.4602503716838,416.4013258124041,115471.7082003373
169324.88673913045,303.43706503340104,248.50846287969466,417.05249560853497,116135.69578607152
170351.09817391308,303.46313254714755,248.5366182100411,417.70714318369215,116829.51199706485
171377.30960869568,303.6092367953244,248.5393652168532,418.4255430183165,117476.74459530669
172403.52104347828,303.84661362545137,248.54212865734098,419.6940093333438,118087.8728389243
173429.7324782609,303.98129581130127,248.54545110678762,420.89777905579837,118738.14330992333
174455.9439130435,304.0885310566227,248.54883919337584,421.1495381330327,119398.6157419918
175482.1553478261,304.0999642899194,248.5592794468286,421.17548995873983,120096.44504940574
176508.36678260873,304.1948677304233,248.62085331851597,421.8044177563516,120761.0763621951
177534.57821739133,304.4773210591096,248.683103881273,422.5160909937384,121350.49930685804
178560.78965217393,304.63398824311764,248.7464939237547,423.2313075719075,121989.18120979401
179587.00108695656,304.7247363657601,248.8117292750314,423.9500585247386,122653.72735502639
180613.21252173916,304.75753651981233,248.87733133931843,424.672334863479,123341.33189542955
181639.42395652176,304.8509989811431,248.99435156052698,425.3955565271614,124004.10294770543
182665.6353913044,304.9300603461651,249.0603273784914,426.09147711536036,124672.35824426755
183691.84682608698,304.99518283987817,249.09020504767926,426.79077100264703,125345.99560962978
184718.05826086958,305.0310935868415,249.13988909833904,427.4934299145428,126031.41266533236
185744.2696956522,305.11575279488113,249.20532848110858,428.19944555450905,126696.42462011162
186770.4811304348,305.1873133216255,249.27112326345303,428.8582755660966,127366.53309129413
187796.6925652174,305.2345623043883,249.33727332863552,428.92678315406164,128046.52387658891
188822.90400000004,305.42898201020387,249.40377855932186,429.6967028486734,128664.27887740932
189849.11543478264,305.5407944952776,249.45387706938362,430.92831635334306,129316.2040992875
190875.32686956524,305.56264407425743,249.48555773057865,431.8572805310545,130005.9150050498
191901.53830434787,305.64921435180196,249.51740753649327,432.6132898948921,130667.84667145404
192927.74973913046,305.6740774919508,249.54942646085146,433.3562986351825,131355.92047729602
193953.96117391306,305.7472070735944,249.5816144772407,434.06946469540986,132023.0366687206
194980.1726086957,305.8036878884642,249.61397155911328,434.12772296954853,132697.05844522957
196006.3840434783,305.92676611146555,249.64649767978503,434.1862715303756,133341.7966023786
197032.5954782609,306.0405143557716,249.67919281243627,435.23690854795944,133990.1028977696
198058.80691304352,306.09303732874366,249.71205693011166,436.670116710141,134664.85544166644
199085.01834782612,306.3006160961272,249.74509000572021,437.890384247932,135270.86612849287
